"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"           0","2063.7400108","62546.021244","       88342","HomeImp","ProfExe","4.9658968397","           0","           0","275.03239483","           0","          11","43.717635112"
"           0","2460.8855932","       58688","       63348","DebtCon","ProfExe","           9","           0","           3","179.16257471","           2","          31","22.544392837"
"           0","3319.6130937","       65873","       90408","","Mgr","           2","           0","           0","141.85899895","           0","          23"," 37.76961861"
"           1","4103.2536819","6365.4762237","13319.325448","HomeImp","Other","           5","           0","           0","101.74676644","           0","           8","33.243156978"
"           0","4012.0672504","14017.430726","       84630","HomeImp","Other","3.1313228603","           0","           0","112.57341888","           0","          15","41.673996362"
"           0","3566.0587624","36360.271366","58668.363004","HomeImp","Other","          10","           0","           0","        81.5","           3","          13","           ."
"           0","1801.8076134","           .","     28437.5","HomeImp","","           .","           .","           .","           .","           .","           .","           ."
"           0","3595.6699241","128058.50942","      245300","DebtCon","Sales","           .","           0","           0","131.93333333","           0","          22","           ."
"           0","2174.4348835","       65576","52798.493736","HomeImp","Other","5.8505110284","           1","           2"," 61.64250608","           1","          14","40.590910018"
"           0","        4900","       57461","22889.491375","DebtCon","ProfExe","6.2616566412","           0","           4","183.63561323","           0","          30","22.795423552"
"           0","3798.4954242","           .","       69706","","","           .","           .","           .","           .","           .","           .","33.705587738"
"           0","        5000","           .","5098.9792374","HomeImp","","           .","           .","           .","           .","           .","           .","33.354652626"
"           0","1066.8292111","36602.079018","       61690","DebtCon","","0.3422871466","           .","           0","65.032969007","           .","          16","36.699414922"
"           1","        5000"," 48736.40112","1101.8236003","HomeImp","Other","2.0746808118","           0","           0","122.59722258","           0","          15","40.616779346"
"           0"," 2180.823736","3059.9309655","       53448","HomeImp","Self","           .","           0","           0","207.14348133","           0","          12","44.107951691"
"           0","        5000","33820.678992","49163.642668","HomeImp","ProfExe","           7","           0","           0","193.63644686","           0","          28","25.897316482"
"           1","4602.9215956","8236.0169761","20533.104096","HomeImp","Other","8.5427988873","           0","           0","        65.7","           1","           5","           ."
"           1","        5000","       40000","20784.960823","HomeImp","Mgr","         0.4","           0","           0","61.766666667","           2","           8","           ."
"           1","        5000","      100882"," 87221.32325","HomeImp","Mgr","           5","           0","           1","58.866666667","           0","          16","           ."
"           1","        5000","11303.219056","       47350","HomeImp","ProfExe","9.1009075181","           .","           .","           .","           .","           .","           ."
"           1","255.66612615"," 45283.93922"," 62341.95379","HomeImp","Office","1.3241836207","           0","           0","       100.3","           0","          14","           ."
"           1","        5000","      100000","7545.8006108","HomeImp","Mgr","12.200512502","           .","           .","           .","           .","           .","           ."
"           1","        5000","           .","102900.44713","HomeImp","Other","6.4264900593","           0","           2","       121.9","           0","          14","           ."
"           1","        5000","           .","1800.0821014","HomeImp","Other","0.2856682033","           0","           0","54.733333333","           2","           8","           ."
"           1","2220.1907366","10591.434905","4214.2671047","HomeImp","Other","           6","           0","           0","          57","           1","           9","           ."
"           1","        5000","           .","       71277","HomeImp","Other","  1.85042956","           0","           0","72.433333333","           1","          12","           ."
"           1","        5000","48087.665913","150146.66644","HomeImp","Mgr","           9","           .","           .","           .","           .","           .","           ."
"           1","        5000","14111.199963","       25250","HomeImp","Other","           6","           0","           0","        88.7","           1","           3","           ."
"           1","1361.2756861","           .","11863.701325","HomeImp","Other","           .","           0","           1","285.33333333","           0","           6","           ."
"           0","        5000","1052.9808945","1872.3247489","HomeImp","Other","3.1690208219","           0","           0","74.633333333","           3","           9","           ."
"           1","        5000","4353.6814127","14525.725153","HomeImp","Self","1.2827773179","           0","           1","335.03333333","           3","          42","           ."
"           0","        5000","           .","27879.679628","HomeImp","Other","0.9002851517","           .","           .","           .","           .","           .","           ."
"           1","4208.5013884","           .","22393.371386","HomeImp","Other","1.1051565055","           .","           .","           .","           .","           .","           ."
"           1","3650.3934388","       73126","       87500","DebtCon","Other","           1","           0","           0","125.96666667","           2","          10","           ."
"           0","2476.8123531","2479.3067293","       86250","DebtCon","Mgr","          19","           0","           1","300.36666667","           1","          24","           ."
"           0","        5000","       26037","30513.171547","HomeImp","ProfExe","          12","           0","           0","182.63333333","           0","          13","           ."
"           0","        5000","       39000","       50340","HomeImp","Office","          10","           .","           .","179.83333333","           .","          19","           ."
"           0","        5000","           .","25577.140123","DebtCon","Other","1.2891325181","           0","           0","276.96666667","           1","          14","           ."
"           0","2819.8119802","       70470","       77908","DebtCon","","1.9082797048","           .","           .","           .","           .","           .","           ."
"           0","        5000","           .","6358.9373825","HomeImp","Other","           3","           0","           0","       266.8","           1","          26","           ."
"           0","2514.3319892","       74225","       89640","DebtCon","ProfExe","0.2658172544","           .","           .","           .","           .","           .","           ."
"           0","        5000","           .","       65400","HomeImp","Office","         1.5","           0","           0","51.766666667","           0","           4","           ."
"           1","1296.9973876","           .","2890.1628989","HomeImp","Other","           .","           0","           3","107.13333333","          10","           5","           ."
"           0"," 3284.895999","       78565","7811.9838556","DebtCon","ProfExe"," 6.917886808","           0","           0","51.766666667","           3","          14","           ."
"           0","1560.6072762","       59900","3018.9504354","DebtCon","ProfExe"," 5.317569906","           0","           0","219.13333333","           1","          18","           ."
"           1","        5000","       10171","       26809","HomeImp","Office","8.0984960073","           3","           6","       228.3","           0","          24","           ."
"           1","3260.0538122"," 47156.71038","66902.541579","HomeImp","Mgr","4.8850357704","           0","           0","       133.9","           1","          34","           ."
"           1","3056.5079386","41102.068228","106476.54417","HomeImp","Mgr","3.9161564158","           5","           3","122.76666667","           5","          28","           ."
"           1","        5000","       68000","19743.625481","DebtCon","ProfExe","0.0618869608","           0","           0","131.86666667","           0","          30","           ."
"           1","4103.2065703","       71571","       85100","DebtCon","ProfExe","         1.4","           0","           1","82.133333333","           0","          13","           ."
"           1","        5000","1114.4764559","23688.457738","DebtCon","Other","           2","           1","           0","       222.2","           1","           6","           ."
"           1","2824.0288854","       40000","29013.432448","HomeImp","Other","7.9544679485","           3","           2","163.36666667","           1","          16","           ."
"           0"," 3021.201672","       81748","           .","DebtCon","ProfExe","1.7283330838","           1","           2","144.06666667","           2","          17","           ."
"           1","        5000","       44674","       59375","HomeImp","Office","8.6732502834","           .","           ."," 178.6925087","           .","          19","26.448197463"
"           1","2201.3563138","21707.961814","49116.147549","HomeImp","Other","           5","           0","           0","        97.1","           0","          23","           ."
"           0","        5000","       80153","       97275","DebtCon","Other","           1","           0","           0","120.67506316","           2","          10","37.512708409"
"           0","        5000","       68739","26915.557473","","Mgr","0.4138330028","           0","           0","148.72040469","           0","          23","36.669278612"
"           0","2151.3801078","31373.757086","       55320","DebtCon","","2.6384930441","           .","           1","69.107465597","           .","          15","35.025072968"
"           1","        5000","       46696","23227.388324","HomeImp","Other","1.4586579443","           1","           2","148.34064549","           0","          14","46.489874001"
"           0"," 3623.346425","           .","1097.1832399","HomeImp","Other","           2","           0","           0"," 257.6522064","           0","          26","40.952588884"
"           0","1553.0498263","       66435","26686.586594","HomeImp","Other","           2","           0","           0","125.13062556","           0","          14","42.183538672"
"           0","3430.2485864","      179725","251684.85447","DebtCon","Sales","           .","           0","           0","127.49881344","           0","          22","40.308259362"
"           0","2205.0419143","       85583","      115341","HomeImp","ProfExe"," 2.349461944","           0","           0","177.95825512","           1","          28","26.257970132"
"           0","        5100","       72891","       80691","HomeImp","Other","           1","           1","           0","273.88170516","           0","           6","39.852146515"
"           1","766.85016335","       30755","7209.4411564","HomeImp","Other","          10","           0","           0","          69","           0","          17","           ."
"           0","        5100","           .","       26715","DebtCon","Other","0.4459915466","           0","           0","258.78929762","           0","          14","26.722343337"
"           0","        5100","       87258","      121382","HomeImp","ProfExe","1.3892164842","           0","           0","181.66304016","           0","          28","25.444759149"
"           0","        5100","           .","       28291","DebtCon","Other","1.3909349597","           0","           0","277.94456081","           1","          14","23.644691283"
"           0","1320.6234305","9104.7260682","21733.445386","HomeImp","Other","          11","           0","           0","        21.2","           0","           2","           ."
"           1","  2672.74671","34086.744809","86063.711191","HomeImp","Other","9.3442788391","           .","           .","417.63333333","           2","          50","           ."
"           0","        5100","8673.3488844","       34000","DebtCon","Other","           0","           1","           2","86.233333333","           2","          13","           ."
"           0","        5100","      129319","      141875","HomeImp","Sales","           7","           1","           0","157.85980209","           0","          36","25.650741224"
"           1","        5100","64832.381555","51900.374522","HomeImp","Other","           0","           2","           0","290.03410799","           0","           6","38.766985071"
"           1","        5100","       73882","12313.344739","DebtCon","Other","           0","           0","           0","125.78740011","           1","          10","34.446079222"
"           0","1790.9767362","       74071","       97064","DebtCon","Other","           0","           0","           0"," 121.0759726","           2","           9","36.401729548"
"           0","        5100","50139.086508","       79784","HomeImp","Other","0.8630612646","           0","           0","108.07259081","           0","          15","43.290139816"
"           0","        5200","           .","29239.410975","DebtCon","Other","1.2438999243","           0","           0","266.81346457","           1","          14","23.797401058"
"           0","        5200","       67000","1926.5326191","HomeImp","Other","5.6456663938","           0","           1","       119.7","           0","          25","           ."
"           0","2310.4008076","16430.385478","43466.667009","HomeImp","Office","          11","           .","           .","184.29668729","           .","          19","24.414763177"
"           0","        5200","4290.0720687","       26000","DebtCon","Other","           0","           1","           0","        17.2","          10","           7","           ."
"           1","4634.9950791","           .","4098.9499053","DebtCon","Other","  0.67123972","           0","           1","        81.1","           1","           2","           ."
"           0","        5200","24556.194815","13032.206354","HomeImp","Office","1.1425695983","           0","           0","123.76666667","           1","          12","           ."
"           0","        5200","       16324","19174.680181","HomeImp","Self","           .","           0","           0","221.11808171","           0","          11","42.712093844"
"           0","195.54464994","       40564"," 29209.59676","HomeImp","Other","           0","           0","           0","157.77103572","           1","          13","72.670433313"
"           0","        5300","53066.465806","6925.6450345","DebtCon","","           4","           .","           .","           .","           .","           .","19.131201179"
"           0"," 1799.546127","3465.6714999","21906.914487","HomeImp","Sales","           4","           1","           0","175.32870382","           1","          22","40.442570389"
"           1","5059.4820806","4030.9516151","       36078","HomeImp","Other","           .","           0","           0","302.35870946","           0","           8","39.196985402"
"           0","3392.7530424","           .","       49396","HomeImp","","           0","           0","           0","           .","           0","           0","12.043670576"
"           0","        5300","       44993","       50673","HomeImp","Office","           7","           .","           .","184.74276716","           .","          18","27.906122726"
"           1","1586.5126892","       51000","       64000","HomeImp","Mgr","          10","           1","           0","98.333333333","           0","          12","           ."
"           0","        5300","       75958","26497.873389","DebtCon","Other","           0","           0","           0"," 124.1821788","           1","          10","34.599060194"
"           0","        5300","2551.7124411","      117343","HomeImp","Office","          22","           0","           0","109.93390789","           1","          11","  35.8385427"
"           0","4468.2594515","39024.967532","17256.272728","HomeImp","Mgr","4.8553887125","           .","           1","212.89174607","           0","          25","38.591494028"
"           0","3609.2140404","       83552","       96809","DebtCon","ProfExe","           0","           .","           .","           .","           .","           .","28.423961906"
"           0","        5300","35292.092664","19848.101735","HomeImp","Office","8.5154002619","           0","           0","208.16271401","           0","          20","19.762113701"
"           0","888.24679241","3515.7637089","39165.367151","HomeImp","Office","12.267076478","           0","           0","197.24195728","           0","          20","19.350505633"
"           0"," 1310.937632","       53429","       64505","DebtCon","","0.9116117009","           .","           0","69.542430107","           .","          16","36.480236299"
"           0","        5400","           .","       65474","HomeImp","Office","0.0668103807","           0","           0","40.709849004","           0","           4","37.848771035"
"           1"," 2466.312353","27617.633545","25201.781572","HomeImp","Office","           8","           .","           .","189.03430464","           .","          18","24.701136262"
"           1","        5400","44204.936551","23449.036859","DebtCon","Sales","1.0052056951","           0","           0","        95.6","           0","          22","           ."
"           1","        5400","1037.1504685","32329.261968","HomeImp","ProfExe","3.5808728838","           0","           1","       199.9","           1","          20","           ."
"           0","1487.2759811","       86922","63691.137586","HomeImp","ProfExe","  0.52295208","           0","           0","185.07634726","           1","          28","26.354889295"
"           0","        5400","6749.5344104","2312.3209512","DebtCon","Sales","1.3749221095","           0","           0","136.63294416","           0","          30"," 32.05002349"
"           0","        5400","20410.929028","2595.3280885","HomeImp","Other","           4","           0","           0"," 122.9402886","           0","          15","44.092325682"
"           0"," 1024.495384","           .","       75254","","","           .","           .","           .","           .","           .","           .","23.163742947"
"           1","1415.4973295","       78300","       88000","HomeImp","ProfExe","5.5952826206","           0","           0","       102.5","           3","          19","           ."
"           1","125.76499885","       48152","8788.2517937","DebtCon","","2.6655734641","           .","           0","78.452125766","           .","          16","35.763637997"
"           0","        5500","8782.2584588","30579.780092","HomeImp","Other"," 2.772705817","           0","           1","116.59197688","           0","          24","37.612682724"
"           0","        5500","           .","       35402","HomeImp","","           .","           .","           .","           .","           .","           .","35.272073735"
"           0","        5500","13864.136197"," 78861.01502","DebtCon","ProfExe","          22","           0","           0","55.558049044","           2","          13","31.375542416"
