"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"           0","        4700","       53918","       59511","DebtCon","","4.3953102298","           .","           0"," 54.13647743","           .","          15","34.416507811"
"           1"," 884.6624168","13863.424904","       58238","HomeImp","ProfExe","         0.1","           0","           0","        61.8","           2","          17","           ."
"           0","3937.0318488","       88026","      115506","HomeImp","ProfExe","           6","           0","           0","182.24833156","           0","          27"," 29.20902258"
"           1","        4700","       26900","10419.969387","HomeImp","ProfExe","           9","           1","           2","90.466666667","           1","          16","           ."
"           0","        4800","48682.072618","       97191","","Mgr","           3","           0","           0","137.31972481","           0","          23","34.275293777"
"           0","        4800","       56067","       63102","DebtCon","ProfExe","           9","           0","           3","160.14631128","           1","          30","21.583760121"
"           0","945.74713602","15750.581807","       88342","HomeImp","ProfExe","3.0553611988","           0","           0","275.03239483","           0","          11","43.717635112"
"           0","581.54796026","       58688","27290.115357","DebtCon","ProfExe","           9","           0","           3","179.16257471","           2","          31","22.544392837"
"           0","368.60057114","       65873","51629.031658","","Mgr"," 0.513927785","           0","           0","141.85899895","           0","          23"," 37.76961861"
"           1","        4900","21748.882265","6215.4184952","HomeImp","Other","2.1773529505","           0","           0","101.74676644","           0","           8","33.243156978"
"           0","        4900","       67794","51289.117222","HomeImp","Other","           4","           0","           0","112.57341888","           0","          15","41.673996362"
"           1","4257.2037136","       44000","       59745","HomeImp","Other","          10","           0","           0","        81.5","           3","          13","           ."
"           0","        4900","           .","     28437.5","HomeImp","","           .","           .","           .","           .","           .","           .","           ."
"           0","        4900","      170986","33356.946791","DebtCon","Sales","           .","           0","           0","131.93333333","           0","          22","           ."
"           1","840.69644699","       65576","       65774","HomeImp","Other","           6","           1","           2"," 61.64250608","           1","          14","40.590910018"
"           0","        4900","       57461","       68494","DebtCon","ProfExe","           8","           0","           4","183.63561323","           0","          30","22.795423552"
"           0","        4900","           .","       69706","","","           .","           .","           .","           .","           .","           .","33.705587738"
"           0","        5000","           .","16558.096393","HomeImp","","           .","           .","           .","           .","           .","           .","33.354652626"
"           0","        5000","23232.738005","       61690","DebtCon","","           5","           .","           0","65.032969007","           .","          16","36.699414922"
"           0","        5000","25714.474386","       87168","HomeImp","Other","3.3480031841","           0","           0","122.59722258","           0","          15","40.616779346"
"           0","        5000","       12457","       53448","HomeImp","Self","           .","           0","           0","207.14348133","           0","          12","44.107951691"
"           0","1331.3209132","       90059","88372.036725","HomeImp","ProfExe","           7","           0","           0","193.63644686","           0","          28","25.897316482"
"           1","        5000","613.60247775","       34900","HomeImp","Other","          10","           0","           0","        65.7","           1","           5","           ."
"           1","        5000","6589.2674991","       70500","HomeImp","Mgr","         0.4","           0","           0","61.766666667","           2","           8","           ."
"           1","        5000","10731.612881","      102700","HomeImp","Mgr","1.2434027862","           0","           1","58.866666667","           0","          16","           ."
"           1","        5000","       31000","       47350","HomeImp","ProfExe","9.8254708172","           .","           .","           .","           .","           .","           ."
"           1","3927.4028497","49416.188889","      126500","HomeImp","Office","           3","           0","           0","       100.3","           0","          14","           ."
"           1","4131.8490189","98197.946278","    129693.5","HomeImp","Mgr"," 7.086179582","           .","           .","           .","           .","           .","           ."
"           1","        5000","           .","      132000","HomeImp","Other","        17.5","           0","           2","       121.9","           0","          14","           ."
"           1","        5000","           .","        9100","HomeImp","Other","           1","           0","           0","54.733333333","           2","           8","           ."
"           1","        5000","       34200","       50830","HomeImp","Other","4.8163554356","           0","           0","          57","           1","           9","           ."
"           1","        5000","           .","       71277","HomeImp","Other","3.3418243021","           0","           0","72.433333333","           1","          12","           ."
"           1","        5000","      123000","122094.49578","HomeImp","Mgr","           9","           .","           .","           .","           .","           .","           ."
"           0","4197.9579717","       16600","       25250","HomeImp","Other","           6","           0","           0","        88.7","           1","           3","           ."
"           0","1854.0547308","           .","       52000","HomeImp","Other","           .","           0","           1","285.33333333","           0","           6","           ."
"           0","        5000","       22700","2342.9555188","HomeImp","Other","3.5808647534","           0","           0","74.633333333","           3","           9","           ."
"           1","        5000","75.841382181","20007.703078","HomeImp","Self","2.0745753921","           0","           1","335.03333333","           3","          42","           ."
"           1","1228.1973852","           .","20445.845911","HomeImp","Other","          19","           .","           .","           .","           .","           .","           ."
"           1","1877.6956768","           .","       94119","HomeImp","Other","          19","           .","           .","           .","           .","           .","           ."
"           0","        5000","       73126","10544.798196","DebtCon","Other","           1","           0","           0","125.96666667","           2","          10","           ."
"           0","        5000","54623.820575","       86250","DebtCon","Mgr","5.6016206474","           0","           1","300.36666667","           1","          24","           ."
"           0","        5000","       26037","       35000","HomeImp","ProfExe","          12","           0","           0","182.63333333","           0","          13","           ."
"           0","        5000","       39000","       50340","HomeImp","Office","3.6461996956","           .","           .","179.83333333","           .","          19","           ."
"           0","3792.0447992","           .","       26550","DebtCon","Other","0.6813913026","           0","           0","276.96666667","           1","          14","           ."
"           0","        5000","       70470"," 34388.16584","DebtCon","","           5","           .","           .","           .","           .","           .","           ."
"           0","        5000","           .","34137.972483","HomeImp","Other","2.5665257743","           0","           0","       266.8","           1","          26","           ."
"           0","3897.7442095","       74225","33871.735021","DebtCon","ProfExe","         0.3","           .","           .","           .","           .","           .","           ."
"           1","989.05609967","           .","       65400","HomeImp","Office"," 0.666057221","           0","           0","51.766666667","           0","           4","           ."
"           1","2479.1311577","           .","       37500","HomeImp","Other","           .","           0","           3","107.13333333","          10","           5","           ."
"           0","        5000","14537.899838","       98500","DebtCon","ProfExe","          24","           0","           0","51.766666667","           3","          14","           ."
"           0","1895.4458958","       59900","       80800","DebtCon","ProfExe","          15","           0","           0","219.13333333","           1","          18","           ."
"           1","4250.3614348","       10171","       26809","HomeImp","Office","          13","           3","           6","       228.3","           0","          24","           ."
"           1","589.26312513","15082.484586","25768.398623","HomeImp","Mgr","5.8655002144","           0","           0","       133.9","           1","          34","           ."
"           1","        5000","18726.470185"," 28145.75319","HomeImp","Mgr","           6","           5","           3","122.76666667","           5","          28","           ."
"           1","        5000","       68000","       75616","DebtCon","ProfExe","0.0376558008","           0","           0","131.86666667","           0","          30","           ."
"           1","1694.7531755","       71571","       85100","DebtCon","ProfExe","0.5239134427","           0","           1","82.133333333","           0","          13","           ."
"           1","10.211816994","23567.607775","15220.932274","DebtCon","Other","           2","           1","           0","       222.2","           1","           6","           ."
"           1","290.83065935","       40000","23712.955779","HomeImp","Other","           8","           3","           2","163.36666667","           1","          16","           ."
"           1","        5000","40016.753967","           .","DebtCon","ProfExe","0.4786504435","           1","           2","144.06666667","           2","          17","           ."
"           0","        5000","42091.328526","       59375","HomeImp","Office","8.7180490134","           .","           ."," 178.6925087","           .","          19","26.448197463"
"           1","3925.4288347","       61999","     75021.3","HomeImp","Other","           5","           0","           0","        97.1","           0","          23","           ."
"           0","        5000","13230.134025","       97275","DebtCon","Other","           1","           0","           0","120.67506316","           2","          10","37.512708409"
"           0","        5000","       68739","       93435","","Mgr","           3","           0","           0","148.72040469","           0","          23","36.669278612"
"           0","        5000","19544.219081","31978.923133","DebtCon",""," 3.677655388","           .","           1","69.107465597","           .","          15","35.025072968"
"           1","3357.6442014","       46696","       85202","HomeImp","Other","           2","           1","           2","148.34064549","           0","          14","46.489874001"
"           0","        5000","           .","42610.270209","HomeImp","Other","           2","           0","           0"," 257.6522064","           0","          26","40.952588884"
"           0","        5000","       66435","21483.205328","HomeImp","Other","           2","           0","           0","125.13062556","           0","          14","42.183538672"
"           0","393.06215425","      179725","31016.771296","DebtCon","Sales","           .","           0","           0","127.49881344","           0","          22","40.308259362"
"           0","404.47835191","       85583","86363.692029","HomeImp","ProfExe","2.1848501867","           0","           0","177.95825512","           1","          28","26.257970132"
"           0","190.55256461","25840.199201","       80691","HomeImp","Other","           1","           1","           0","273.88170516","           0","           6","39.852146515"
"           1","        5100"," 19159.17267","       46735","HomeImp","Other","6.5201076244","           0","           0","          69","           0","          17","           ."
"           0","        5100","           .","       26715","DebtCon","Other","           1","           0","           0","258.78929762","           0","          14","26.722343337"
"           0","        5100","53340.953941"," 58581.00447","HomeImp","ProfExe","5.9186517046","           0","           0","181.66304016","           0","          28","25.444759149"
"           0","        5100","           .","       28291","DebtCon","Other","           2","           0","           0","277.94456081","           1","          14","23.644691283"
"           1","788.02669304","        9900","       30451","HomeImp","Other","9.0270544547","           0","           0","        21.2","           0","           2","           ."
"           0","        5100","       93000","      116875","HomeImp","Other","          10","           .","           .","417.63333333","           2","          50","           ."
"           1","2722.6557755","       15500","       34000","DebtCon","Other","           0","           1","           2","86.233333333","           2","          13","           ."
"           1","        5100"," 115516.8741","      141875","HomeImp","Sales","           7","           1","           0","157.85980209","           0","          36","25.650741224"
"           1","3081.6257055","       66834","       87361","HomeImp","Other","           0","           2","           0","290.03410799","           0","           6","38.766985071"
"           1","        5100","       73882","       96031","DebtCon","Other","           0","           0","           0","125.78740011","           1","          10","34.446079222"
"           0","  2245.38344"," 25934.78023","       97064","DebtCon","Other","           0","           0","           0"," 121.0759726","           2","           9","36.401729548"
"           0","        5100","       62702","       79784","HomeImp","Other","           2","           0","           0","108.07259081","           0","          15","43.290139816"
"           0","        5200","           .","       36425","DebtCon","Other","0.5761343709","           0","           0","266.81346457","           1","          14","23.797401058"
"           0","1604.4163432","       67000","       77000","HomeImp","Other","5.5139489889","           0","           1","       119.7","           0","          25","           ."
"           1","2744.0327659","       43039","       53521","HomeImp","Office","          11","           .","           .","184.29668729","           .","          19","24.414763177"
"           0","1608.3102975","       19000","       26000","DebtCon","Other","           0","           1","           0","        17.2","          10","           7","           ."
"           1","        5200","           .","3392.6737534","DebtCon","Other","0.8401181418","           0","           1","        81.1","           1","           2","           ."
"           0","5164.2949784","       91250","73985.753825","HomeImp","Office","          24","           0","           0","123.76666667","           1","          12","           ."
"           0","        5200","       16324","18562.955253","HomeImp","Self","           .","           0","           0","221.11808171","           0","          11","42.712093844"
"           1","        5200","13614.796328","       39527","HomeImp","Other","           0","           0","           0","157.77103572","           1","          13","72.670433313"
"           0","        5300","       73698","       84427","DebtCon","","0.6014511085","           .","           .","           .","           .","           .","19.131201179"
"           0","817.58934693","       66987","       65111","HomeImp","Sales","           4","           1","           0","175.32870382","           1","          22","40.442570389"
"           1","        5300","       26908","16090.483018","HomeImp","Other","           .","           0","           0","302.35870946","           0","           8","39.196985402"
"           0","        5300","           .","  38595.3132","HomeImp","","           0","           0","           0","           .","           0","           0","12.043670576"
"           0","        5300","       44993","3651.7726095","HomeImp","Office","1.6728967361","           .","           .","184.74276716","           .","          18","27.906122726"
"           1","3782.7086317","       51000"," 19922.21714","HomeImp","Mgr","          10","           1","           0","98.333333333","           0","          12","           ."
"           0","291.89861095","       75958","85689.840238","DebtCon","Other","           0","           0","           0"," 124.1821788","           1","          10","34.599060194"
"           0","        5300","       97132","      117343","HomeImp","Office","1.3567368087","           0","           0","109.93390789","           1","          11","  35.8385427"
"           0","        5300","       60826","       80826","HomeImp","Mgr","6.6079783284","           .","           1","212.89174607","           0","          25","38.591494028"
"           0","        5300","49637.482309","       96809","DebtCon","ProfExe","           0","           .","           .","           .","           .","           .","28.423961906"
"           0","679.57979314","       47449","27968.700485","HomeImp","Office","18.579814724","           0","           0","208.16271401","           0","          20","19.762113701"
"           0","        5300","50550.999185","       62957","HomeImp","Office","          21","           0","           0","197.24195728","           0","          20","19.350505633"
"           0","2330.2654143","       53429","       64505","DebtCon","","           5","           .","           0","69.542430107","           .","          16","36.480236299"
"           0","        5400","           .","56441.285985","HomeImp","Office","           1","           0","           0","40.709849004","           0","           4","37.848771035"
"           0","1931.6665351","       47844","       52040","HomeImp","Office","           8","           .","           .","189.03430464","           .","          18","24.701136262"
"           1","2061.4810191","       45509","       57453","DebtCon","Sales","           4","           0","           0","        95.6","           0","          22","           ."
"           1","        5400","       59720","60930.424658","HomeImp","ProfExe","           5","           0","           1","       199.9","           1","          20","           ."
"           0","4813.2641207","       86922","51709.763195","HomeImp","ProfExe","3.3561986002","           0","           0","185.07634726","           1","          28","26.354889295"
"           1","        5400","18467.604046","9750.9337434","DebtCon","Sales","           2","           0","           0","136.63294416","           0","          30"," 32.05002349"
"           0","        5400","       65814","       85848","HomeImp","Other","           4","           0","           0"," 122.9402886","           0","          15","44.092325682"
"           0","        5400","           .","62448.293959","","","           .","           .","           .","           .","           .","           .","23.163742947"
"           1","        5400","71324.700129","       88000","HomeImp","ProfExe","           8","           0","           0","       102.5","           3","          19","           ."
"           1","5119.5900091","       48152","       55760","DebtCon","","2.9373118705","           .","           0","78.452125766","           .","          16","35.763637997"
"           0","1850.5019072","       70481","       82446","HomeImp","Other","7.6369540839","           0","           1","116.59197688","           0","          24","37.612682724"
"           0","4091.6884162","           .","       35402","HomeImp","","           .","           .","           .","           .","           .","           .","35.272073735"
"           0","5059.6515746","       87765","      101053","DebtCon","ProfExe","          22","           0","           0","55.558049044","           2","          13","31.375542416"
"           0","        5500","       52897","       65054","HomeImp","Office","          20","           0","           0","189.29531847","           0","          19","20.654128896"
"           1","        5500","       24700","       35675","DebtCon","Other"," 0.592494645","           0","           3","153.93333333","           3","          27","           ."
