BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,PARTIND
1,3000,,14500.0,HomeImp,Other,3.0,0.0,0.0,9.3,14.0,2.0,,1
1,3000,,14100.0,HomeImp,Other,1.0,0.0,0.0,104.2,0.0,19.0,,1
1,3000,47000.0,82700.0,HomeImp,ProfExe,10.0,0.0,1.0,262.166666666667,5.0,26.0,,0
1,3000,34542.0,45900.0,HomeImp,Mgr,8.5,0.0,2.0,62.3666666666667,0.0,10.0,,1
0,3000,58000.0,71500.0,HomeImp,Mgr,10.0,,2.0,211.933333333333,0.0,25.0,,1
0,3000,47000.0,56400.0,HomeImp,Office,21.0,0.0,0.0,201.866666666667,0.0,20.0,,1
1,3100,39589.0,36100.0,HomeImp,Other,1.5,0.0,0.0,153.166666666667,1.0,14.0,,1
0,3100,,70400.0,,,,,,,,,,1
0,3200,67848.0,74566.0,HomeImp,Mgr,10.0,,1.0,206.426602063746,0.0,25.0,40.115677277509,0
1,3200,48603.0,61000.0,HomeImp,ProfExe,28.0,0.0,4.0,122.033333333333,1.0,25.0,,1
1,3200,27200.0,40834.0,HomeImp,Other,,0.0,0.0,298.131564030104,0.0,7.0,35.5535387893457,1
1,3200,54000.0,64850.0,HomeImp,Other,1.0,0.0,0.0,121.866666666667,3.0,21.0,,1
0,3200,74864.0,87266.0,HomeImp,ProfExe,7.0,0.0,0.0,250.631269223786,0.0,12.0,42.9099973509554,1
1,3200,23159.0,,HomeImp,Mgr,20.0,,2.0,117.805747837844,0.0,9.0,0.524499215429881,1
1,3300,126541.0,134527.0,HomeImp,Sales,9.0,1.0,0.0,139.0,0.0,36.0,,1
1,3300,130518.0,164317.0,DebtCon,Other,9.0,0.0,6.0,192.289148972957,0.0,33.0,35.7305591898926,0
1,3400,37000.0,52000.0,HomeImp,Office,2.0,0.0,1.0,183.299915611814,0.0,6.0,,1
1,3500,23200.0,38666.0,HomeImp,Other,11.0,0.0,0.0,162.366666666667,0.0,14.0,,1
1,3500,19400.0,20494.0,HomeImp,Other,5.0,0.0,0.0,95.9333333333333,0.0,9.0,,1
1,3600,61584.0,61800.0,HomeImp,ProfExe,10.0,,,,,,,1
1,3600,41900.0,52490.0,HomeImp,Mgr,3.0,0.0,0.0,72.0333333333333,2.0,4.0,,0
0,3600,83700.0,111800.0,HomeImp,ProfExe,6.0,0.0,0.0,192.733333333333,1.0,28.0,,1
0,3600,61327.0,76484.0,HomeImp,Mgr,9.0,,2.0,202.51077515241,0.0,25.0,41.5163896993251,0
0,3600,100693.0,114743.0,HomeImp,Office,6.0,0.0,0.0,88.4704521347716,0.0,14.0,29.3935433821909,1
1,3600,48507.0,61000.0,DebtCon,Office,13.0,1.0,4.0,97.4,0.0,17.0,,1
0,3600,52337.0,63989.0,HomeImp,Office,20.0,0.0,0.0,204.272498843927,0.0,20.0,20.4709155077911,1
1,3700,17857.0,21144.0,HomeImp,Other,5.0,0.0,0.0,129.717323127429,1.0,9.0,26.6343475182701,1
1,3800,19135.0,97692.0,HomeImp,Mgr,1.6,1.0,6.0,252.633333333333,1.0,25.0,,1
0,3800,51180.0,63459.0,HomeImp,Office,20.0,0.0,0.0,203.751533578916,0.0,20.0,20.067042050961,0
0,3800,,73189.0,,,,,,,,,22.2539491564939,1
0,3800,11543.0,46045.0,HomeImp,Self,,0.0,0.0,204.64799167056,0.0,11.0,42.1731658823291,1
1,3900,29896.0,45960.0,HomeImp,Other,11.0,0.0,0.0,146.123242194151,0.0,14.0,24.4788811910939,0
1,3900,14500.0,22092.0,HomeImp,Other,3.5,0.0,1.0,150.3,5.0,8.0,,1
0,3900,52825.0,63000.0,DebtCon,ProfExe,8.0,0.0,4.0,171.666666666667,1.0,31.0,,0
0,3900,102143.0,118742.0,HomeImp,Office,2.0,0.0,0.0,85.2773655787646,0.0,13.0,29.3439210886061,1
1,3900,21200.0,39000.0,DebtCon,Mgr,4.0,0.0,1.0,86.5666666666667,2.0,14.0,,1
0,4000,105164.0,112774.0,HomeImp,Office,1.0,0.0,0.0,94.7248741671333,0.0,13.0,29.3909280551742,1
0,4000,54543.0,61777.0,HomeImp,Office,21.0,0.0,0.0,205.586680033493,0.0,19.0,21.8065634639499,0
1,4000,,80609.0,HomeImp,Other,1.5,0.0,2.0,126.533333333333,3.0,12.0,,1
1,4000,26572.0,31960.0,HomeImp,Office,11.0,0.0,0.0,117.795103874788,0.0,8.0,41.286491947517,1
1,4000,17000.0,52012.0,HomeImp,ProfExe,22.0,3.0,1.0,85.3333333333333,1.0,9.0,,0
1,4000,29562.0,37200.0,DebtCon,Other,6.0,0.0,0.0,92.1333333333333,1.0,26.0,,1
1,4000,41700.0,76725.0,HomeImp,Other,0.5,0.0,3.0,136.133333333333,0.0,15.0,,1
1,4000,58000.0,69440.0,HomeImp,Other,3.5,0.0,1.0,168.666666666667,0.0,18.0,,1
1,4000,5700.0,18000.0,DebtCon,Other,,0.0,0.0,12.2,0.0,17.0,,1
1,4000,45000.0,58350.0,HomeImp,Mgr,3.5,0.0,0.0,162.0,3.0,16.0,,1
1,4000,7000.0,16020.0,HomeImp,Other,18.0,0.0,1.0,85.8,2.0,23.0,,1
0,4000,66000.0,79050.0,HomeImp,Other,1.8,2.0,0.0,279.0,1.0,6.0,,0
0,4000,,45760.0,HomeImp,,0.0,0.0,0.0,,0.0,0.0,,0
0,4000,62000.0,78000.0,HomeImp,Other,4.0,0.0,0.0,109.566666666667,0.0,15.0,,1
0,4000,64240.0,63990.0,HomeImp,Sales,5.0,2.0,0.0,160.3,1.0,23.0,,0
1,4000,74000.0,93000.0,HomeImp,ProfExe,2.6,1.0,3.0,186.633333333333,,9.0,,1
1,4000,55000.0,59000.0,DebtCon,Other,12.0,2.0,0.0,146.1,0.0,22.0,,0
0,4000,67625.0,80698.0,HomeImp,Mgr,11.0,,1.0,212.349303879201,0.0,25.0,39.1287176277995,1
0,4000,67533.0,71865.0,HomeImp,Mgr,10.0,,2.0,227.792988410622,0.0,25.0,39.1663287025626,1
1,4100,,19132.0,HomeImp,Other,0.0,0.0,0.0,100.774652207425,0.0,19.0,33.8409199038245,1
1,4100,58500.0,65000.0,HomeImp,Other,8.0,1.0,2.0,63.9333333333333,2.0,15.0,,0
0,4100,57992.0,63797.0,DebtCon,ProfExe,7.0,0.0,4.0,165.50503695302,1.0,31.0,22.2781743697255,1
0,4200,56544.0,59218.0,HomeImp,Office,19.0,0.0,0.0,211.002599120024,1.0,20.0,19.0277044247499,1
1,4200,34800.0,50225.0,HomeImp,Other,2.0,1.0,0.0,93.5,1.0,5.0,,1
0,4200,67700.0,77000.0,DebtCon,Sales,4.0,0.0,0.0,128.833333333333,0.0,31.0,,0
0,4200,44000.0,55085.0,DebtCon,,6.0,,1.0,75.4333333333333,,16.0,,1
0,4200,66272.0,82953.0,HomeImp,Other,3.0,0.0,0.0,110.278662594096,0.0,15.0,43.450587911052,0
0,4200,50216.0,58541.0,HomeImp,Office,19.0,0.0,0.0,209.871302243017,0.0,19.0,20.208032669643,1
0,4300,71206.0,78698.0,DebtCon,Sales,3.0,0.0,0.0,129.932869017443,0.0,31.0,34.1813765157766,1
0,4300,68815.0,79852.0,HomeImp,Other,6.0,0.0,0.0,105.12070880504,0.0,14.0,41.8063761523582,1
0,4300,72021.0,80027.0,HomeImp,Other,2.0,2.0,0.0,263.970300294846,0.0,5.0,36.4320939367088,1
0,4400,53969.0,63869.0,DebtCon,ProfExe,7.0,0.0,3.0,162.390010669274,0.0,30.0,23.5810792388306,1
0,4400,,60250.0,,,,,,,,,,0
1,4400,53091.0,64074.0,DebtCon,Office,14.0,1.0,3.0,89.8610582497177,0.0,17.0,39.1580848338213,1
0,4500,66127.0,79087.0,HomeImp,Other,4.0,1.0,0.0,81.3490650979605,0.0,15.0,40.7053087596899,0
0,4500,,77182.0,,,,,,,,,25.2272529043105,1
1,4500,39000.0,66000.0,HomeImp,Other,1.0,0.0,0.0,170.366666666667,1.0,19.0,,1
0,4500,71082.0,79247.0,HomeImp,Other,4.0,0.0,0.0,118.760410071659,0.0,14.0,41.4211105205776,1
0,4500,,49044.0,HomeImp,,0.0,0.0,0.0,,0.0,0.0,11.6527387959616,1
1,4500,57000.0,,HomeImp,Other,5.0,,,222.6,1.0,13.0,,1
1,4500,34184.0,46000.0,HomeImp,Mgr,3.5,0.0,1.0,122.6,2.0,22.0,,1
1,4500,66517.0,87000.0,DebtCon,ProfExe,10.0,0.0,4.0,125.8,0.0,34.0,,1
0,4500,45500.0,50000.0,HomeImp,Other,6.0,0.0,0.0,86.1666666666667,0.0,18.0,,1
1,4500,118000.0,146870.0,HomeImp,ProfExe,4.5,2.0,0.0,203.866666666667,1.0,20.0,,0
1,4500,90000.0,105800.0,HomeImp,Other,6.0,2.0,3.0,80.1,3.0,10.0,,1
0,4700,67913.0,97205.0,,Mgr,2.0,0.0,0.0,142.824391513498,0.0,24.0,35.2269971919884,1
0,4700,71855.0,88566.0,HomeImp,Other,2.0,2.0,0.0,283.959538087112,0.0,5.0,36.4754732826378,1
0,4700,53918.0,59511.0,DebtCon,,6.0,,0.0,54.1364774295931,,15.0,34.4165078109021,0
1,4700,49100.0,58238.0,HomeImp,ProfExe,0.1,0.0,0.0,61.8,2.0,17.0,,1
0,4700,88026.0,115506.0,HomeImp,ProfExe,6.0,0.0,0.0,182.248331560814,0.0,27.0,29.2090225796956,1
1,4700,26900.0,45000.0,HomeImp,ProfExe,9.0,1.0,2.0,90.4666666666667,1.0,16.0,,1
0,4800,67317.0,97191.0,,Mgr,3.0,0.0,0.0,137.319724808842,0.0,23.0,34.2752937772243,1
0,4800,56067.0,63102.0,DebtCon,ProfExe,9.0,0.0,3.0,160.146311284359,1.0,30.0,21.5837601207121,0
0,4800,80482.0,88342.0,HomeImp,ProfExe,7.0,0.0,0.0,275.032394832909,0.0,11.0,43.7176351117471,1
0,4900,58688.0,63348.0,DebtCon,ProfExe,9.0,0.0,3.0,179.162574709457,2.0,31.0,22.5443928365337,1
0,4900,65873.0,90408.0,,Mgr,2.0,0.0,0.0,141.858998953769,0.0,23.0,37.7696186101435,1
1,4900,25597.0,23031.0,HomeImp,Other,5.0,0.0,0.0,101.746766439263,0.0,8.0,33.2431569778701,0
0,4900,67794.0,84630.0,HomeImp,Other,4.0,0.0,0.0,112.573418882591,0.0,15.0,41.6739963615285,0
1,4900,44000.0,59745.0,HomeImp,Other,10.0,0.0,0.0,81.5,3.0,13.0,,0
0,4900,,28437.5,HomeImp,,,,,,,,,1
0,4900,170986.0,245300.0,DebtCon,Sales,,0.0,0.0,131.933333333333,0.0,22.0,,1
1,4900,65576.0,65774.0,HomeImp,Other,6.0,1.0,2.0,61.6425060799225,1.0,14.0,40.5909100180356,1
0,4900,57461.0,68494.0,DebtCon,ProfExe,8.0,0.0,4.0,183.635613228834,0.0,30.0,22.795423551833,1
0,4900,,69706.0,,,,,,,,,33.7055877376094,1
0,5000,,34846.0,HomeImp,,,,,,,,33.3546526264887,1
0,5000,47479.0,61690.0,DebtCon,,5.0,,0.0,65.0329690071755,,16.0,36.6994149216727,1
0,5000,66839.0,87168.0,HomeImp,Other,4.0,0.0,0.0,122.597222584587,0.0,15.0,40.6167793460827,1
0,5000,12457.0,53448.0,HomeImp,Self,,0.0,0.0,207.143481334762,0.0,12.0,44.1079516907353,1
0,5000,90059.0,113714.0,HomeImp,ProfExe,7.0,0.0,0.0,193.636446864652,0.0,28.0,25.8973164822195,1
1,5000,22320.0,34900.0,HomeImp,Other,10.0,0.0,0.0,65.7,1.0,5.0,,1
1,5000,40000.0,70500.0,HomeImp,Mgr,0.4,0.0,0.0,61.7666666666667,2.0,8.0,,1
1,5000,100882.0,102700.0,HomeImp,Mgr,5.0,0.0,1.0,58.8666666666667,0.0,16.0,,0
1,5000,31000.0,47350.0,HomeImp,ProfExe,12.0,,,,,,,0
1,5000,63125.0,126500.0,HomeImp,Office,3.0,0.0,0.0,100.3,0.0,14.0,,1
1,5000,100000.0,129693.5,HomeImp,Mgr,13.0,,,,,,,1
1,5000,,132000.0,HomeImp,Other,17.5,0.0,2.0,121.9,0.0,14.0,,1
1,5000,,9100.0,HomeImp,Other,1.0,0.0,0.0,54.7333333333333,2.0,8.0,,1
1,5000,34200.0,50830.0,HomeImp,Other,6.0,0.0,0.0,57.0,1.0,9.0,,1
1,5000,,71277.0,HomeImp,Other,10.0,0.0,0.0,72.4333333333333,1.0,12.0,,1
1,5000,123000.0,157500.0,HomeImp,Mgr,9.0,,,,,,,1
1,5000,16600.0,25250.0,HomeImp,Other,6.0,0.0,0.0,88.7,1.0,3.0,,1
1,5000,,52000.0,HomeImp,Other,,0.0,1.0,285.333333333333,0.0,6.0,,1
1,5000,22700.0,34225.0,HomeImp,Other,4.0,0.0,0.0,74.6333333333333,3.0,9.0,,0
1,5000,6000.0,38575.0,HomeImp,Self,7.0,0.0,1.0,335.033333333333,3.0,42.0,,1
1,5000,,74500.0,HomeImp,Other,19.0,,,,,,,0
1,5000,,94119.0,HomeImp,Other,19.0,,,,,,,1
0,5000,73126.0,87500.0,DebtCon,Other,1.0,0.0,0.0,125.966666666667,2.0,10.0,,0
0,5000,72517.0,86250.0,DebtCon,Mgr,19.0,0.0,1.0,300.366666666667,1.0,24.0,,1
0,5000,26037.0,35000.0,HomeImp,ProfExe,12.0,0.0,0.0,182.633333333333,0.0,13.0,,1
0,5000,39000.0,50340.0,HomeImp,Office,10.0,,,179.833333333333,,19.0,,1
0,5000,,26550.0,DebtCon,Other,1.7,0.0,0.0,276.966666666667,1.0,14.0,,1
0,5000,70470.0,77908.0,DebtCon,,5.0,,,,,,,1
0,5000,,36375.0,HomeImp,Other,3.0,0.0,0.0,266.8,1.0,26.0,,0
0,5000,74225.0,89640.0,DebtCon,ProfExe,0.3,,,,,,,1
0,5000,,65400.0,HomeImp,Office,1.5,0.0,0.0,51.7666666666667,0.0,4.0,,0
1,5000,,37500.0,HomeImp,Other,,0.0,3.0,107.133333333333,10.0,5.0,,1
0,5000,78565.0,98500.0,DebtCon,ProfExe,24.0,0.0,0.0,51.7666666666667,3.0,14.0,,1
0,5000,59900.0,80800.0,DebtCon,ProfExe,15.0,0.0,0.0,219.133333333333,1.0,18.0,,0
1,5000,10171.0,26809.0,HomeImp,Office,13.0,3.0,6.0,228.3,0.0,24.0,,1
1,5000,78893.0,82600.0,HomeImp,Mgr,16.0,0.0,0.0,133.9,1.0,34.0,,0
1,5000,85165.0,107940.0,HomeImp,Mgr,6.0,5.0,3.0,122.766666666667,5.0,28.0,,1
1,5000,68000.0,75616.0,DebtCon,ProfExe,0.1,0.0,0.0,131.866666666667,0.0,30.0,,0
1,5000,71571.0,85100.0,DebtCon,ProfExe,1.4,0.0,1.0,82.1333333333333,0.0,13.0,,1
1,5000,28000.0,36810.0,DebtCon,Other,2.0,1.0,0.0,222.2,1.0,6.0,,1
1,5000,40000.0,32480.0,HomeImp,Other,8.0,3.0,2.0,163.366666666667,1.0,16.0,,1
1,5000,81748.0,,DebtCon,ProfExe,14.0,1.0,2.0,144.066666666667,2.0,17.0,,1
0,5000,44674.0,59375.0,HomeImp,Office,10.0,,,178.692508696335,,19.0,26.4481974630236,1
1,5000,61999.0,75021.3,HomeImp,Other,5.0,0.0,0.0,97.1,0.0,23.0,,0
0,5000,80153.0,97275.0,DebtCon,Other,1.0,0.0,0.0,120.675063156323,2.0,10.0,37.5127084094205,1
0,5000,68739.0,93435.0,,Mgr,3.0,0.0,0.0,148.720404690659,0.0,23.0,36.6692786120713,1
0,5000,51209.0,55320.0,DebtCon,,5.0,,1.0,69.1074655974897,,15.0,35.0250729684648,1
1,5000,46696.0,85202.0,HomeImp,Other,2.0,1.0,2.0,148.340645492302,0.0,14.0,46.4898740006703,1
0,5000,,46281.0,HomeImp,Other,2.0,0.0,0.0,257.652206396173,0.0,26.0,40.9525888840587,1
0,5000,66435.0,82819.0,HomeImp,Other,2.0,0.0,0.0,125.13062556495,0.0,14.0,42.1835386723762,0
0,5100,179725.0,251962.0,DebtCon,Sales,,0.0,0.0,127.498813439734,0.0,22.0,40.3082593624099,0
0,5100,85583.0,115341.0,HomeImp,ProfExe,7.0,0.0,0.0,177.958255117205,1.0,28.0,26.2579701324031,0
0,5100,72891.0,80691.0,HomeImp,Other,1.0,1.0,0.0,273.881705161417,0.0,6.0,39.8521465151115,1
1,5100,30755.0,46735.0,HomeImp,Other,10.0,0.0,0.0,69.0,0.0,17.0,,0
0,5100,,26715.0,DebtCon,Other,1.0,0.0,0.0,258.789297617553,0.0,14.0,26.7223433365497,1
0,5100,87258.0,121382.0,HomeImp,ProfExe,6.0,0.0,0.0,181.663040156594,0.0,28.0,25.444759149195,0
0,5100,,28291.0,DebtCon,Other,2.0,0.0,0.0,277.94456081157,1.0,14.0,23.6446912830717,1
1,5100,9900.0,30451.0,HomeImp,Other,11.0,0.0,0.0,21.2,0.0,2.0,,0
0,5100,93000.0,116875.0,HomeImp,Other,10.0,,,417.633333333333,2.0,50.0,,0
1,5100,15500.0,34000.0,DebtCon,Other,0.0,1.0,2.0,86.2333333333333,2.0,13.0,,1
1,5100,129319.0,141875.0,HomeImp,Sales,7.0,1.0,0.0,157.859802092533,0.0,36.0,25.6507412239726,0
0,5100,66834.0,87361.0,HomeImp,Other,0.0,2.0,0.0,290.034107994353,0.0,6.0,38.7669850708065,0
0,5100,73882.0,96031.0,DebtCon,Other,0.0,0.0,0.0,125.787400113614,1.0,10.0,34.4460792217199,1
0,5100,74071.0,97064.0,DebtCon,Other,0.0,0.0,0.0,121.075972603058,2.0,9.0,36.4017295484951,1
0,5100,62702.0,79784.0,HomeImp,Other,2.0,0.0,0.0,108.072590806335,0.0,15.0,43.2901398161473,1
0,5200,,36425.0,DebtCon,Other,2.0,0.0,0.0,266.81346457476,1.0,14.0,23.7974010578158,1
0,5200,67000.0,77000.0,HomeImp,Other,9.0,0.0,1.0,119.7,0.0,25.0,,1
0,5200,43039.0,53521.0,HomeImp,Office,11.0,,,184.296687292686,,19.0,24.4147631772257,1
0,5200,19000.0,26000.0,DebtCon,Other,0.0,1.0,0.0,17.2,10.0,7.0,,1
1,5200,,9500.0,DebtCon,Other,1.0,0.0,1.0,81.1,1.0,2.0,,1
0,5200,91250.0,110000.0,HomeImp,Office,24.0,0.0,0.0,123.766666666667,1.0,12.0,,1
0,5200,16324.0,45187.0,HomeImp,Self,,0.0,0.0,221.118081705132,0.0,11.0,42.7120938437209,0
1,5200,40564.0,39527.0,HomeImp,Other,0.0,0.0,0.0,157.771035724923,1.0,13.0,72.6704333126687,0
0,5300,73698.0,84427.0,DebtCon,,4.0,,,,,,19.1312011793261,0
0,5300,66987.0,65111.0,HomeImp,Sales,4.0,1.0,0.0,175.328703823634,1.0,22.0,40.442570388756,1
1,5300,26908.0,36078.0,HomeImp,Other,,0.0,0.0,302.358709459518,0.0,8.0,39.1969854022828,1
0,5300,,49396.0,HomeImp,,0.0,0.0,0.0,,0.0,0.0,12.0436705756624,0
0,5300,44993.0,50673.0,HomeImp,Office,7.0,,,184.742767163459,,18.0,27.9061227256321,0
1,5300,51000.0,64000.0,HomeImp,Mgr,10.0,1.0,0.0,98.3333333333333,0.0,12.0,,0
0,5300,75958.0,91703.0,DebtCon,Other,0.0,0.0,0.0,124.182178801947,1.0,10.0,34.5990601938726,1
0,5300,97132.0,117343.0,HomeImp,Office,22.0,0.0,0.0,109.93390789171,1.0,11.0,35.8385427004092,1
0,5300,60826.0,80826.0,HomeImp,Mgr,10.0,,1.0,212.891746071273,0.0,25.0,38.5914940276982,0
0,5300,83552.0,96809.0,DebtCon,ProfExe,0.0,,,,,,28.4239619064256,0
0,5300,47449.0,63895.0,HomeImp,Office,19.0,0.0,0.0,208.162714012753,0.0,20.0,19.7621137014879,0
0,5300,50934.0,62957.0,HomeImp,Office,21.0,0.0,0.0,197.241957282284,0.0,20.0,19.3505056330238,0
0,5400,53429.0,64505.0,DebtCon,,5.0,,0.0,69.5424301072283,,16.0,36.4802362989822,1
0,5400,,65474.0,HomeImp,Office,1.0,0.0,0.0,40.7098490037092,0.0,4.0,37.8487710346276,0
0,5400,47844.0,52040.0,HomeImp,Office,8.0,,,189.034304642567,,18.0,24.7011362617701,0
1,5400,45509.0,57453.0,DebtCon,Sales,4.0,0.0,0.0,95.6,0.0,22.0,,0
1,5400,59720.0,63450.0,HomeImp,ProfExe,5.0,0.0,1.0,199.9,1.0,20.0,,1
0,5400,86922.0,119846.0,HomeImp,ProfExe,5.0,0.0,0.0,185.076347255609,1.0,28.0,26.3548892946471,1
0,5400,68625.0,82304.0,DebtCon,Sales,2.0,0.0,0.0,136.632944161805,0.0,30.0,32.0500234903907,1
0,5400,65814.0,85848.0,HomeImp,Other,4.0,0.0,0.0,122.940288596798,0.0,15.0,44.09232568164,0
0,5400,,75254.0,,,,,,,,,23.1637429473473,0
1,5400,78300.0,88000.0,HomeImp,ProfExe,8.0,0.0,0.0,102.5,3.0,19.0,,1
0,5400,48152.0,55760.0,DebtCon,,6.0,,0.0,78.452125766269,,16.0,35.7636379965225,1
0,5500,70481.0,82446.0,HomeImp,Other,8.0,0.0,1.0,116.591976877343,0.0,24.0,37.6126827235486,1
0,5500,,35402.0,HomeImp,,,,,,,,35.2720737354933,1
0,5500,87765.0,101053.0,DebtCon,ProfExe,22.0,0.0,0.0,55.5580490439362,2.0,13.0,31.3755424159465,1
0,5500,52897.0,65054.0,HomeImp,Office,20.0,0.0,0.0,189.295318465345,0.0,19.0,20.6541288964237,1
1,5500,24700.0,35675.0,DebtCon,Other,1.0,0.0,3.0,153.933333333333,3.0,27.0,,0
1,5500,,43132.0,HomeImp,Other,,,,,,,,1
0,5500,43486.0,81600.0,DebtCon,,4.0,0.0,0.0,216.133333333333,4.0,30.0,,1
1,5500,21359.0,30000.0,DebtCon,Other,7.0,3.0,2.0,130.8,3.0,14.0,,0
1,5500,,13770.0,HomeImp,Mgr,5.0,0.0,1.0,167.366666666667,1.0,8.0,,0
0,5500,93051.0,115374.0,HomeImp,ProfExe,6.0,0.0,0.0,187.020518788362,1.0,27.0,27.6467485047862,0
0,5500,87438.0,116679.0,HomeImp,ProfExe,6.0,0.0,0.0,186.424416021732,1.0,27.0,28.4175308957545,1
0,5500,78059.0,78179.0,DebtCon,,5.0,,,,,,20.6793135817858,1
0,5500,72147.0,69918.0,HomeImp,Sales,4.0,2.0,0.0,158.534497900144,0.0,23.0,43.4044302384855,1
1,5500,40584.0,46645.0,HomeImp,Other,4.0,0.0,1.0,136.320637463563,0.0,13.0,34.4947089647896,1
1,5500,,12972.0,HomeImp,Other,1.0,0.0,1.0,82.2942663537203,0.0,2.0,36.9867440967759,1
1,5500,37368.0,48502.0,HomeImp,Mgr,9.0,0.0,2.0,48.9958450016098,0.0,10.0,33.1264839673119,1
0,5500,,66251.0,HomeImp,Office,1.0,0.0,0.0,43.7223369456304,0.0,3.0,41.4520435320968,1
